经纬度,id,小区名称,所在区域,总价（万元）,单价（元）,房屋户型,所在楼层,建筑面积（㎡）,户型结构,套内面积（㎡）,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件
北京门头沟金泰丽湾悦栖山,52,金泰丽湾悦栖山,门头沟,369,39776,2室1厅1厨1卫,低楼层 (共21层),92.77,平层,71.9,板塔结合,南,钢混结构,简装,两梯四户,集中供暖,有,70年,2018/5/6,商品房,2017/4/20,普通住宅,满两年,非共有,有抵押 80万元,已上传房本照片
北京大兴润枫锦尚,53,润枫锦尚,大兴,406,44773,2室1厅1厨1卫,中楼层 (共10层),90.68,平层,74.66,板塔结合,东 西,钢混结构,简装,两梯五户,自供暖,有,70年,2018/11/23,商品房,2013/4/12,普通住宅,满五年,非共有,无抵押,已上传房本照片
北京海淀观澜国际,54,观澜国际,海淀,1550,90958,3室2厅1厨2卫,低楼层 (共17层),170.41,平层,139.97,板楼,东南 西北,钢混结构,精装,两梯两户,自供暖,有,70年,2018/11/24,商品房,2006/8/10,普通住宅,满五年,非共有,无抵押,已上传房本照片
北京门头沟惠民家园,55,惠民家园,门头沟,260,38196,2室1厅1厨1卫,底层 (共9层),68.07,平层,56.49,板楼,东 南,钢混结构,精装,一梯四户,集中供暖,有,70年,2018/9/13,二类经济适用房,2018/6/20,普通住宅,未满两年,非共有,无抵押,已上传房本照片
北京石景山京汉旭城,56,京汉旭城,石景山,535,58419,2室2厅1厨1卫,低楼层 (共16层),91.58,平层,72.56,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,70年,2019/10/20,商品房,2007/2/12,普通住宅,满五年,非共有,无抵押,已上传房本照片
北京大兴清澄名苑南区,57,清澄名苑南区,大兴,620,43623,3室2厅1厨2卫,低楼层 (共11层),142.13,平层,124.71,板楼,南 北,钢混结构,毛坯,一梯两户,集中供暖,有,70年,2018/7/11,私产,2006/8/16,普通住宅,满五年,非共有,无抵押,已上传房本照片
北京石景山依翠园,58,依翠园,石景山,439,45559,3室1厅1厨1卫,顶层 (共6层),96.36,平层,暂无数据,板楼,东 东南 南,混合结构,简装,一梯三户,集中供暖,无,70年,2019/3/24,商品房,2016/10/13,普通住宅,满两年,非共有,无抵押,已上传房本照片
北京石景山古城南里,59,古城南里,石景山,275,45149,2室1厅1厨1卫,顶层 (共14层),60.91,平层,暂无数据,板楼,南 北,钢混结构,毛坯,一梯三户,集中供暖,有,70年,2019/5/2,已购公房,1996/11/27,普通住宅,满五年,非共有,无抵押,已上传房本照片
北京东城东花市北里中区,60,东花市北里中区,东城,850,80333,2室2厅1厨1卫,中楼层 (共5层),105.81,平层,76,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,2019/10/28,央产房,2018/9/5,普通住宅,未满两年,非共有,无抵押,已上传房本照片
北京昌平新龙城,61,新龙城,昌平,390,53469,1室1厅1厨1卫,底层 (共20层),72.94,平层,56.08,板楼,南 北,钢混结构,精装,两梯两户,自供暖,有,70年,2018/11/21,商品房,2015/9/22,普通住宅,满两年,非共有,有抵押 110万元 业主自还,已上传房本照片
北京门头沟惠泽家园,62,惠泽家园,门头沟,335,33925,3室1厅1厨1卫,中楼层 (共6层),98.75,平层,87.2,板楼,南 北,混合结构,其他,一梯两户,集中供暖,无,70年,2019/7/27,二类经济适用房,2012/5/11,普通住宅,满五年,非共有,暂无数据,已上传房本照片
